datetime,closing_price
2021-01-09T00:00:00,40257.43
2021-01-08T00:00:00,40665.15
2021-01-07T00:00:00,39505.56
2021-01-06T00:00:00,36859.26
2021-01-05T00:00:00,34030.64
2021-01-04T00:00:00,32019.99
2021-01-03T00:00:00,33080.66
2021-01-02T00:00:00,32225.91
2021-01-01T00:00:00,29412.84
2020-12-31T00:00:00,28990.08
2020-12-30T00:00:00,28897.42
2020-12-29T00:00:00,27366.35
2020-12-28T00:00:00,27040.36
2020-12-27T00:00:00,26258.65
2020-12-26T00:00:00,26475.35
2020-12-25T00:00:00,24704.71
2020-12-24T00:00:00,23717.96
2020-12-23T00:00:00,23228.35
2020-12-22T00:00:00,23823.27
2020-12-21T00:00:00,22729.4
2020-12-20T00:00:00,23476.51
2020-12-19T00:00:00,23849.99
2020-12-18T00:00:00,23137.76
2020-12-17T00:00:00,22826.48
2020-12-16T00:00:00,21359.65
2020-12-15T00:00:00,19444.6
2020-12-14T00:00:00,19272.37
2020-12-13T00:00:00,19166.65
2020-12-12T00:00:00,18821.28
2020-12-11T00:00:00,18042.15
2020-12-10T00:00:00,18253.44
2020-12-09T00:00:00,18546.55
2020-12-08T00:00:00,18316.22
2020-12-07T00:00:00,19177.71
2020-12-06T00:00:00,19375.6
2020-12-05T00:00:00,19158.96
2020-12-04T00:00:00,18658.1
2020-12-03T00:00:00,19448.64
2020-12-02T00:00:00,19225.63
2020-12-01T00:00:00,18782.97
2020-11-30T00:00:00,19713.94
2020-11-29T00:00:00,18202.04
2020-11-28T00:00:00,17739.85
2020-11-27T00:00:00,17153.95
2020-11-26T00:00:00,17170
2020-11-25T00:00:00,18721.93
2020-11-24T00:00:00,19172.84
2020-11-23T00:00:00,18384.82
2020-11-22T00:00:00,18437.66
2020-11-21T00:00:00,18721.21
2020-11-20T00:00:00,18675.25
2020-11-19T00:00:00,17821.58
2020-11-18T00:00:00,17782.91
2020-11-17T00:00:00,17679.36
2020-11-16T00:00:00,16726.64
2020-11-15T00:00:00,15966.89
2020-11-14T00:00:00,16082.01
2020-11-13T00:00:00,16339.56
2020-11-12T00:00:00,16310.81
2020-11-11T00:00:00,15705.79
2020-11-10T00:00:00,15315.03
2020-11-09T00:00:00,15342.25
2020-11-08T00:00:00,15482.9
2020-11-07T00:00:00,14834.09
2020-11-06T00:00:00,15599.95
2020-11-05T00:00:00,15608.21
2020-11-04T00:00:00,14161.48
2020-11-03T00:00:00,14035.8
2020-11-02T00:00:00,13563.22
2020-11-01T00:00:00,13771.59
2020-10-31T00:00:00,13804.81
2020-10-30T00:00:00,13571.51
2020-10-29T00:00:00,13460
2020-10-28T00:00:00,13281.05
2020-10-27T00:00:00,13698.18
2020-10-26T00:00:00,13068.79
2020-10-25T00:00:00,13045
2020-10-24T00:00:00,13126.24
2020-10-23T00:00:00,12937.09
2020-10-22T00:00:00,12987.02
2020-10-21T00:00:00,12808
2020-10-20T00:00:00,11923.83
2020-10-19T00:00:00,11760.45
2020-10-18T00:00:00,11514.2
2020-10-17T00:00:00,11367.89
2020-10-16T00:00:00,11328.95
2020-10-15T00:00:00,11509.34
2020-10-14T00:00:00,11427.7
2020-10-13T00:00:00,11428.22
2020-10-12T00:00:00,11535.46
2020-10-11T00:00:00,11374.01
2020-10-10T00:00:00,11299.5
2020-10-09T00:00:00,11057.07
2020-10-08T00:00:00,10933.09
2020-10-07T00:00:00,10670.47
2020-10-06T00:00:00,10602.66
2020-10-05T00:00:00,10795
2020-10-04T00:00:00,10671.11
2020-10-03T00:00:00,10551.65
2020-10-02T00:00:00,10573.12
2020-10-01T00:00:00,10617.63
2020-09-30T00:00:00,10779.63
2020-09-29T00:00:00,10840.73
2020-09-28T00:00:00,10695.55
2020-09-27T00:00:00,10778.2
2020-09-26T00:00:00,10730
2020-09-25T00:00:00,10690.53
2020-09-24T00:00:00,10740.01
2020-09-23T00:00:00,10235.1
2020-09-22T00:00:00,10531.13
2020-09-21T00:00:00,10416.82
2020-09-20T00:00:00,10920.89
2020-09-19T00:00:00,11080
2020-09-18T00:00:00,10937.52
2020-09-17T00:00:00,10943.61
2020-09-16T00:00:00,10959.61
2020-09-15T00:00:00,10783.75
2020-09-14T00:00:00,10679.95
2020-09-13T00:00:00,10336.76
2020-09-12T00:00:00,10446.52
